year,region,p1,p2,p3,p4,p5,p6,p7plus
2015,서울특별시,1115744,930467,817440,701945,169436,38547,10911
2015,부산광역시,361749,366048,296742,238031,56971,12928,3431
2015,대구광역시,239517,239824,208795,184258,44071,9582,2481
2015,인천광역시,243678,265079,245135,220538,55230,12253,3504
2015,광주광역시,163577,137662,115701,109612,32199,6647,1759
2015,대전광역시,169391,140603,122088,112055,30022,6489,1856
2015,울산광역시,103551,104101,100230,90735,19914,3851,1030
2015,세종특별자치시,21889,18010,15219,14560,4238,994,309
2015,경기도,1026471,1062222,1005330,971146,246638,56117,16818
2015,강원도,189379,178470,116384,87182,25922,6567,2213
2015,충청북도,173598,167146,120634,100527,30110,7428,2413
2015,충청남도,234513,226658,153585,128382,39334,10031,3682
2015,전라북도,213750,209008,135856,110132,36433,9038,3094
2015,전라남도,218864,227975,131454,96940,33229,8881,3269
2015,경상북도,322569,320498,207395,156364,42161,10360,3377
2015,경상남도,346754,341745,265127,228216,59248,13383,4014
2015,제주특별자치도,58446,58302,43864,38308,15257,4378,1814
2016,서울특별시,1138860,931262,816946,686469,163555,37153,10460
2016,부산광역시,372412,370623,296627,233160,55496,12460,3392
2016,대구광역시,247444,242931,209737,181468,42748,9114,2311
2016,인천광역시,254076,270903,249208,218672,54482,12030,3457
2016,광주광역시,165169,140558,116354,107633,31563,6386,1709
2016,대전광역시,179605,142629,122640,108888,28963,6207,1766
2016,울산광역시,104856,106425,101425,89320,19410,3628,963
2016,세종특별자치시,27683,20180,18079,17783,5120,1202,366
2016,경기도,1067916,1091119,1033608,973096,246575,55612,16498
2016,강원도,197917,180639,117408,86362,25441,6477,2102
2016,충청북도,187377,170184,121917,99555,29534,7075,2272
2016,충청남도,247056,229782,156005,128810,38855,9648,3574
2016,전라북도,222201,209595,137015,108374,35482,8983,3028
2016,전라남도,227225,229014,132231,94986,32192,8370,3179
2016,경상북도,336547,322930,208721,154056,41024,9962,3341
2016,경상남도,358430,347870,268117,224170,58381,12773,3782
2016,제주특별자치도,62841,60522,45663,38608,15552,4395,1756
2017,서울특별시,1180540,956978,813629,662920,154992,34649,9552
2017,부산광역시,388899,382097,292829,224363,52161,11077,2975
2017,대구광역시,259525,252001,209994,175690,40445,8315,2060
2017,인천광역시,266434,281547,250528,214177,52948,11430,3221
2017,광주광역시,171424,145953,117074,104346,29665,5704,1566
2017,대전광역시,188136,148154,122116,104899,27148,5692,1591
2017,울산광역시,107497,110658,101568,86268,18520,3368,841
2017,세종특별자치시,31472,23943,21261,20503,5581,1187,378
2017,경기도,1124541,1146712,1056797,966018,240634,53016,15232
2017,강원도,199645,187312,117912,83773,24178,6020,1889
2017,충청북도,195186,176617,122463,97422,28487,6737,2161
2017,충청남도,259727,238889,158219,128198,37707,9015,3231
2017,전라북도,227600,214939,136325,105267,33764,8131,2845
2017,전라남도,232022,236021,132568,91935,30579,7816,2816
2017,경상북도,346998,332119,207812,149369,39265,9354,2890
2017,경상남도,370293,361780,270594,219895,55225,11798,3413
2017,제주특별자치도,68738,64612,46952,38854,15180,4208,1671
2018,서울특별시,1229421,977469,807545,637385,147231,32059,8656
2018,부산광역시,404408,390452,290198,216430,49253,10220,2647
2018,대구광역시,269903,260091,208858,170651,38593,7575,1845
2018,인천광역시,275898,292339,252372,210146,50625,10505,2864
2018,광주광역시,174614,150500,117002,101784,27922,5353,1384
2018,대전광역시,195544,153135,120714,100895,25359,5129,1399
2018,울산광역시,110236,114387,101535,83810,17498,3141,784
2018,세종특별자치시,35763,27998,24599,23176,5986,1182,325
2018,경기도,1197586,1213259,1084338,958729,234095,49527,13963
2018,강원도,206295,193105,117713,81241,22835,5522,1773
