시점,행정구역별(읍면동),일반가구_계,1인,2인,3인,4인,5인,6인,7인 이상
2020,인천광역시,1147200,324841,316387,251928,198528,44949,8440,2127
2020,광주광역시,599217,193948,162403,115978,97323,24613,4011,941
2020,대전광역시,631208,228842,164795,116989,93698,21883,4034,967
2020,울산광역시,444087,122848,123591,99739,79489,15447,2398,575
2020,세종특별자치시,139106,43577,33204,28307,26415,6328,1029,246
2020,경기도,5098431,1406010,1350139,1119823,951370,218173,42094,10822
2020,강원도,661039,231371,206755,117504,79073,20669,4409,1258
2020,충청북도,678922,236208,198840,122347,91329,24143,4694,1361
2020,충청남도,892222,304973,264909,159754,121589,32419,6618,1960
2020,전라북도,755575,255269,233334,134414,96907,27962,5920,1769
2020,전라남도,761518,256633,251506,131372,87883,26561,5727,1836
2020,경상북도,1131819,388791,363061,202539,137092,32174,6388,1774
2020,경상남도,1350155,417737,399700,270061,205658,46516,8410,2073
2020,제주특별자치도,263068,81855,74308,49903,38747,13719,3380,1156
