老磊,0-9技,10-19技,20-29技,30-39技,40-49技,50-59技,60-69技,70-79技,80技捞惑,钦拌
20200530,1,5,9,2,4,10,4,1,3,39
20200531,0,0,9,7,4,6,1,0,0,27
20200601,1,2,2,4,6,13,5,2,0,35
20200602,0,2,5,3,2,9,11,5,1,38
20200603,1,2,5,6,5,9,15,6,0,49
20200604,1,1,5,3,2,10,9,6,2,39
20200605,1,1,5,2,4,6,10,7,3,39
20200606,3,1,2,6,11,8,9,8,3,51
20200607,1,6,3,6,8,11,12,8,2,57
20200608,1,1,5,2,5,6,11,3,3,37
20200609,0,0,3,2,4,10,9,5,5,38
20200610,1,2,6,9,1,7,16,7,1,50
20200611,1,3,6,10,4,10,5,5,1,45
20200612,0,3,11,8,2,16,13,2,1,56
20200613,0,2,9,1,3,9,8,6,10,48
20200614,0,0,8,3,6,7,8,1,1,34
20200615,2,0,5,5,11,6,4,3,1,37
20200616,2,1,3,4,4,6,8,6,0,34
20200617,2,1,8,14,2,7,3,5,1,43
20200618,1,1,10,4,6,9,13,7,8,59
20200619,0,2,8,9,3,12,11,3,1,49
20200620,2,4,9,13,8,12,13,3,3,67
20200621,0,1,5,10,5,8,10,6,3,48
20200622,0,1,3,4,1,5,2,1,0,17
20200623,3,0,5,9,9,8,7,4,1,46
20200624,2,1,3,14,12,10,5,2,2,51
20200625,1,2,1,9,2,6,5,2,0,28
20200626,1,1,8,10,5,5,6,1,2,39
20200627,1,2,14,10,6,5,7,4,2,51
20200628,2,3,12,13,9,6,13,3,1,62
20200629,3,1,9,5,6,5,12,1,0,42
20200630,2,4,10,6,8,6,3,3,0,42
20200701,0,2,4,12,2,17,6,7,1,51
20200702,2,2,8,6,2,14,12,7,1,54
20200703,1,10,10,10,6,7,10,4,3,61
20200704,3,2,12,16,8,8,9,2,3,63
20200705,3,3,8,9,11,7,14,6,0,61
20200706,5,1,8,9,6,9,5,2,3,48
20200707,1,2,11,7,7,7,7,2,0,44
20200708,1,3,11,11,15,9,5,6,1,62
20200709,2,4,11,7,11,10,3,1,1,50
20200710,3,3,10,9,5,8,3,3,1,45
20200711,1,0,8,6,2,8,2,4,4,35
20200712,2,6,4,13,5,3,9,1,1,44
20200713,3,4,18,15,9,4,5,3,1,62
20200714,2,2,6,5,3,6,4,4,1,33
20200715,1,1,4,8,9,9,7,0,0,39
20200716,6,2,13,15,9,6,6,3,1,61
20200717,3,1,9,14,14,8,6,3,2,60
20200718,3,4,10,5,9,7,0,1,0,39
20200719,3,2,4,9,3,4,6,2,1,34
20200720,2,2,8,6,4,2,1,0,1,26
20200721,1,1,12,8,3,5,3,8,4,45
20200722,0,7,8,8,10,9,11,6,4,63
20200723,0,4,19,3,8,12,9,4,0,59
20200724,1,1,3,5,6,8,11,4,2,41
20200725,1,1,13,38,34,14,8,2,2,113
20200726,0,0,4,13,15,18,5,1,2,58
20200727,1,1,5,8,3,0,2,4,1,25
20200728,2,2,4,4,7,5,3,1,0,28
20200729,0,1,6,16,11,5,4,5,0,48
20200730,0,0,2,6,4,0,6,0,0,18
20200731,1,0,5,13,8,4,3,1,1,36
20200801,1,0,0,10,6,8,5,1,0,31
20200802,2,0,5,7,8,4,2,1,1,30
20200803,2,3,4,2,2,5,4,1,0,23
20200804,4,5,6,5,6,4,2,0,2,34
20200805,1,3,6,7,4,6,5,1,0,33
20200806,0,4,13,3,3,8,9,3,0,43
20200807,0,4,3,1,5,2,5,0,0,20
20200808,1,1,7,4,4,10,13,3,0,43
20200809,4,1,7,5,3,7,7,0,2,36
20200810,0,0,4,3,3,4,13,1,0,28
20200811,0,0,6,5,4,9,7,3,0,34
20200812,1,7,4,11,12,12,2,3,2,54
20200813,2,6,11,12,5,10,6,2,2,56
20200814,4,10,14,17,16,19,15,6,2,103
20200815,4,10,32,20,24,33,29,11,3,166
20200816,3,23,39,28,35,58,56,31,6,279
