mid final
57	88
54	79
69	42
72	91
63	84
72	83
87	69
81	89
52	87
80	94
78	91
23	45
37	45
82	85
59	47
58	56
75	78
86	89
73	82
53	90
80	79
79	85
77	62
74	82
54	45
75	98
89	94
71	85
63	35
34	56
57	88
89	84
43	78
86	91
69	35
77	77
84	81
55	59
57	50
74	50
83	71
80	77
67	76
53	85
69	84
72	89
90	92
76	94
84	88
89	100
98	98
94	91
76	84
46	10
83	87
80	39
90	93
77	75
83	90
79	89
79	80
92	93
80	79
88	80
97	98
85	82
60	15
90	86
86	71
100	71
96	97
75	75
78	75
94	79
77	13
82	58
93	88
82	48
79	87
95	82
93	96
55	44
82	98
86	82
72	53
65	60
81	59
98	84
89	64
70	37
69	41
50	33
80	65
80	71
76	69
91	78
61	21
90	83
84	85
76	88
70	64
59	26
89	78
90	91
93	77
97	79
47	31
88	60
88	81
72	78
84	37
86	83
93	85
87	85
89	81
63	11
78	67
91	71
70	78
87	57
84	16
68	27
75	45
89	61
