NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수,매도,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지
827,서울특별시 중랑구 면목동,집합,1077-1,사가정로71길,제2종일반주거,제1종근린생활,12m미만,44.42, ,"5,000",2,개인,개인,202412,4,지분,1990,-,직거래,-
828,서울특별시 도봉구 방학동,일반,4**,방학로,제3종일반주거,제1종근린생활,8m미만,46.18,173,"129,500",,법인,개인,202412,4,,1997,-,중개거래,서울 강북구
829,서울특별시 강남구 대치동,집합,511,삼성로,제3종일반주거,기타,25m이상,97.6, ,"283,000",,개인,개인,202412,4,,,-,중개거래,서울 강남구
830,서울특별시 마포구 서교동,집합,358-135,홍익로,제3종일반주거,제2종근린생활,8m미만,96.86, ,"91,000",,법인,개인,202412,4,,2017,-,중개거래,"서울 강남구, 서울 동대문구, 서울 마포구"
831,서울특별시 마포구 서교동,집합,358-135,홍익로,제3종일반주거,제2종근린생활,8m미만,38.79, ,"44,000",1,법인,개인,202412,4,,2017,-,중개거래,"서울 강남구, 서울 동대문구, 서울 마포구"
832,서울특별시 용산구 원효로2가,일반,2*,원효로,제3종일반주거,제2종근린생활,25m이상,515.06,220.7,"847,883",,법인,법인,202412,4,,1989,-,중개거래,서울 강남구
833,서울특별시 중구 오장동,집합,145-1,동호로33길,일반상업,제1종근린생활,12m미만,21.7, ,"40,120",1,개인,법인,202412,4,,2020,-,직거래,-
834,서울특별시 중구 오장동,집합,145-1,동호로33길,일반상업,제1종근린생활,12m미만,23.8, ,"40,718",1,개인,법인,202412,4,,2020,-,직거래,-
835,서울특별시 양천구 신정동,집합,120-2,신목로14길,제2종일반주거,제2종근린생활,12m미만,59.77, ,"49,000",2,개인,개인,202412,4,,2002,20241211,중개거래,서울 양천구
836,서울특별시 강서구 방화동,집합,612-147,개화동로29길,준주거,제1종근린생활,8m미만,35.88, ,"33,185",1,법인,개인,202412,4,,2021,-,중개거래,서울 강서구
837,서울특별시 용산구 이태원동,일반,2**,회나무로,제2종일반주거,제2종근린생활,25m미만,322.87,139,"350,000",,법인,개인,202412,4,,1997,-,중개거래,서울 용산구
838,서울특별시 양천구 신정동,집합,120-2,신목로14길,제2종일반주거,제2종근린생활,12m미만,59.77, ,"49,000",2,개인,개인,202412,4,,2002,-,중개거래,서울 양천구
839,서울특별시 광진구 구의동,집합,546-4,광나루로56길,준주거,판매,25m이상,11.13, ,"3,000",,개인,개인,202412,4,,1998,-,직거래,-
840,서울특별시 강남구 삼성동,일반,3*,선릉로112길,제3종일반주거,업무,8m미만,837.82,282.1,"855,000",,법인,개인,202412,4,,2002,-,중개거래,서울 강남구
841,서울특별시 강남구 삼성동,일반,1**,선릉로92길,일반상업,업무,-,1969.27,23.77,"250,000",,법인,법인,202412,4,지분,2024,-,직거래,-
842,서울특별시 강남구 삼성동,일반,1**,선릉로92길,일반상업,업무,-,1969.27,59.43,"625,000",,법인,법인,202412,4,지분,2024,-,직거래,-
843,서울특별시 성북구 동선동1가,집합,01월 02일,동소문로,일반상업,판매,25m이상,3.9, ,"6,900",,법인,개인,202412,4,,2008,-,직거래,-
844,서울특별시 성북구 동선동4가,일반,1**,아리랑로2길,일반상업,숙박,8m미만,557.85,210.2,"320,000",,법인,개인,202412,4,,1963,-,중개거래,서울 종로구
845,서울특별시 마포구 서교동,집합,358-135,홍익로,제3종일반주거,제2종근린생활,8m미만,38.79, ,"44,000",1,법인,개인,202412,4,,2017,20250213,중개거래,"서울 강남구, 서울 동대문구, 서울 마포구"
846,서울특별시 마포구 서교동,집합,358-135,홍익로,제3종일반주거,제2종근린생활,8m미만,96.86, ,"91,000",,법인,개인,202412,4,,2017,20250213,중개거래,"서울 강남구, 서울 동대문구, 서울 마포구"
847,서울특별시 종로구 통인동,일반,1**,,제2종일반주거,제2종근린생활,8m미만,163.21,151.6,"230,000",,개인,개인,202412,4,,1967,20241230,중개거래,서울 종로구
848,서울특별시 강동구 암사동,집합,480-1,구천면로47길,제2종일반주거,판매,12m미만,11.73, ,"1,500",,개인,개인,202412,4,,1981,-,직거래,-
849,서울특별시 송파구 문정동,집합,651-6,법원로8길,일반상업,업무,25m이상,35.29, ,"35,000",12,개인,개인,202412,3,,2018,-,중개거래,서울 송파구
850,서울특별시 송파구 문정동,집합,651-6,법원로8길,일반상업,업무,25m이상,35.29, ,"35,000",12,개인,개인,202412,3,,2018,-,중개거래,서울 송파구
851,서울특별시 서초구 양재동,일반,3**,동산로6길,제2종일반주거,제2종근린생활,12m미만,1341.04,414,"810,000",,법인,개인,202412,3,,1990,-,중개거래,서울 강남구
852,서울특별시 서초구 서초동,일반,1***,서운로,일반상업,업무,25m미만,2855.61,531.5,"3,470,000",,법인,법인,202412,3,,1984,-,중개거래,"서울 강남구, 서울 서초구"
853,서울특별시 송파구 석촌동,일반,2**,송파대로,제3종일반주거,제2종근린생활,25m이상,599.52,204.8,"670,000",,법인,법인,202412,3,,1990,-,중개거래,서울 송파구
854,서울특별시 강남구 도곡동,집합,467-6,언주로30길,일반상업,업무,25m이상,27.93, ,"48,000",22,개인,개인,202412,3,,1999,-,중개거래,서울 강남구
855,서울특별시 종로구 효제동,일반,2**,종로35길,일반상업,제1종근린생활,8m미만,249.12,92.6,"160,000",,개인,개인,202412,3,,1967,-,중개거래,서울 강남구
856,서울특별시 영등포구 여의도동,집합,03월 25일,여의나루로,일반상업,업무,25m이상,31.18, ,"37,000",4,개인,법인,202412,3,,1984,-,중개거래,서울 영등포구
857,서울특별시 도봉구 쌍문동,일반,2**,우이천로32길,제1종일반주거,제2종근린생활,12m미만,232.48,36.2,"20,000",,개인,개인,202412,3,지분,1988,-,직거래,-
858,서울특별시 동작구 신대방동,집합,713,여의대방로10길,제1종일반주거,제1종근린생활,25m미만,46.93, ,"40,000",,개인,개인,202412,3,,2003,-,중개거래,서울 동작구
859,서울특별시 강남구 삼성동,일반,1**,봉은사로68길,제2종일반주거,제2종근린생활,25m미만,863.07,22.93,"38,550",,개인,개인,202412,3,지분,,-,직거래,-
860,서울특별시 용산구 한강로2가,집합,14-18,청파로,제3종일반주거,업무,12m미만,31.54, ,"19,500",9,개인,개인,202412,3,,2010,-,중개거래,서울 용산구
861,서울특별시 강서구 마곡동,집합,800-1,공항대로,일반상업,제2종근린생활,25m이상,111.29, ,"73,000",4,개인,법인,202412,3,,2018,-,중개거래,서울 강서구
862,서울특별시 종로구 창신동,일반,2*,창신6나길,제2종일반주거,제2종근린생활,8m미만,182.61,193.7,"117,725",,법인,개인,202412,3,,1974,-,직거래,-
863,서울특별시 종로구 창신동,일반,2*,창신12길,제2종일반주거,제2종근린생활,8m미만,92.56,100.2,"79,728",,법인,개인,202412,3,,,-,직거래,-
864,서울특별시 종로구 창신동,일반,2**,종로,준주거,제2종근린생활,8m미만,251.31,95.9,"181,600",,법인,개인,202412,3,,2024,20241226,중개거래,서울 강북구
865,서울특별시 성북구 종암동,일반,*,,제2종일반주거,제1종근린생활,8m미만,693.99,43,"33,257",,법인,개인,202412,3,지분,1970,-,중개거래,서울 성북구
866,서울특별시 중구 황학동,집합,2545,청계천로,일반상업,판매,25m이상,10.49, ,"5,000",11,개인,개인,202412,3,,2008,-,중개거래,서울 중구
867,서울특별시 강남구 삼성동,일반,1**,선릉로92길,일반상업,업무,-,1969.27,23.77,"250,000",,법인,법인,202412,3,지분,2024,-,직거래,-
868,서울특별시 은평구 불광동,집합,270,통일로68길,제2종일반주거,제1종근린생활,8m미만,13.99, ,"4,400",2,개인,개인,202412,3,,1991,-,직거래,-
869,서울특별시 강남구 삼성동,일반,1**,선릉로92길,일반상업,업무,-,1969.27,35.66,"375,000",,법인,법인,202412,3,지분,2024,-,직거래,-
870,서울특별시 강남구 삼성동,일반,1**,선릉로92길,일반상업,업무,-,1969.27,47.54,"500,000",,법인,법인,202412,3,지분,2024,-,직거래,-
871,서울특별시 중랑구 면목동,일반,6**,면목로39길,제2종일반주거,제2종근린생활,8m미만,147.88,95.5,"61,000",,법인,개인,202412,3,,1993,-,중개거래,서울 중랑구
872,서울특별시 중구 충무로4가,집합,306,퇴계로,일반상업,제2종근린생활,25m이상,78.93, ,"35,700",,법인,법인,202412,2,,2009,-,중개거래,서울 중구
873,서울특별시 용산구 이태원동,일반,6**,녹사평대로46길,제2종일반주거,제2종근린생활,8m미만,109.03,63.2,"150,000",,개인,개인,202412,2,,1983,-,중개거래,서울 용산구
874,서울특별시 영등포구 영등포동5가,집합,07월 19일,,준주거,제1종근린생활,8m미만,36.02, ,"22,000",,법인,개인,202412,2,,1971,-,중개거래,서울 영등포구
875,서울특별시 영등포구 영등포동7가,집합,208,국회대로50길,일반상업,업무,25m이상,75.63, ,"71,000",18,법인,개인,202412,2,,2020,-,중개거래,서울 영등포구
876,서울특별시 용산구 한강로3가,집합,98,서빙고로,일반상업,판매,25m이상,28.79, ,"69,000",10,개인,개인,202412,2,,2020,-,직거래,-
877,서울특별시 광진구 구의동,집합,546-4,광나루로56길,준주거,판매,25m이상,9.84, ,200,,개인,개인,202412,2,,1998,-,중개거래,서울 광진구
878,서울특별시 광진구 자양동,일반,7**,자양로,준주거,제2종근린생활,25m이상,824.77,226.8,"550,000",,법인,법인,202412,2,,,20241202,중개거래,서울 강남구
879,서울특별시 마포구 아현동,집합,437-3,마포대로,준주거,업무,25m이상,19.6, ,"10,000",,개인,개인,202412,2,,1987,-,중개거래,서울 마포구
880,서울특별시 은평구 불광동,집합,311-13,통일로,일반상업,업무,25m이상,33.75, ,"15,700",,개인,개인,202412,2,,2001,-,직거래,-
881,서울특별시 구로구 구로동,일반,3*,새말로16길,제2종일반주거,제1종근린생활,25m미만,437,164.6,"259,700",,법인,개인,202412,2,,,-,중개거래,서울 강남구
882,서울특별시 마포구 상수동,일반,3**,독막로,제3종일반주거,제2종근린생활,8m미만,254.04,129,"220,000",,법인,법인,202412,2,,1996,-,직거래,-
883,서울특별시 중랑구 상봉동,집합,101,망우로,근린상업,기타,25m이상,214.5, ,"66,000",7,개인,개인,202412,2,,2006,-,중개거래,서울 송파구
884,서울특별시 중랑구 상봉동,집합,101,망우로,근린상업,기타,25m이상,396.24, ,"115,400",7,개인,개인,202412,2,,2006,-,중개거래,서울 송파구
885,서울특별시 중랑구 상봉동,집합,101,망우로,근린상업,기타,25m이상,221.65, ,"71,400",7,개인,개인,202412,2,,2006,-,중개거래,서울 송파구
886,서울특별시 중랑구 상봉동,집합,101,망우로,근린상업,기타,25m이상,247.5, ,"72,100",7,개인,개인,202412,2,,2006,-,중개거래,서울 송파구
